#Digilent WaveForms Logic Analyzer Bus
#Device Name: Discovery2
#Serial Number: SN:210321B27B48
#Date Time: 2025-07-20 16:38:26.1000

Time (s),Data
-20.92298,81
-20.922835,81
-20.922695,81
-20.922555,81
-20.922415,81
-20.922275,81
-20.922135,81
-20.921995,81
-20.921855,81
-20.921715,81
-20.921575,81
-20.92143,81
-20.92129,81
-20.92115,81
-20.92101,81
-20.92087,81
-20.92073,81
-20.92059,81
-20.92045,81
-20.92031,81
-20.920165,81
-20.920025,81
-20.919885,81
-20.919745,81
-20.919605,81
-20.919465,81
-20.919315,81
-20.919175,81
-20.919015,81
-20.918875,81
-20.918735,81
-20.918595,81
-20.918455,81
-20.918315,81
-20.91817,81
-20.918025,81
-20.91788,81
-20.917735,81
-20.91708,81
-20.916935,81
-20.91679,81
-20.916645,81
-20.916505,81
-20.916365,81
-20.916225,81
-20.916085,81
-20.915945,81
-20.9158,81
-20.91566,81
-20.91552,81
-20.91538,81
-20.91524,81
-20.9151,81
-20.91496,81
-20.91482,81
-20.91468,81
-20.914535,81
-20.914395,81
-20.914255,81
-20.914115,81
-20.913975,81
-20.913835,81
-20.913695,81
-20.913555,81
-20.91341,81
-20.91327,81
-20.91313,81
-20.91299,81
-20.91285,81
-20.91271,81
-20.91257,81
-20.91243,81
-20.912285,81
-20.912145,81
-20.912005,81
-20.911865,81
-20.911725,81
-20.911585,81
-20.911445,81
-20.911305,81
-20.91116,81
-20.91102,81
-20.91088,81
-20.91074,81
-20.9106,81
-20.91046,81
-20.91032,81
-20.91018,81
-20.91004,81
-20.9099,81
-20.90976,81
-20.90962,81
-20.90948,81
-20.90934,81
-20.9092,81
-20.90906,81
-20.90892,81
-20.90878,81
-20.90864,81
-20.9085,81
-20.908355,81
-20.908215,81
-20.908075,81
-20.907935,81
-20.907795,81
-20.907655,81
-20.907515,81
-20.90737,81
-20.907225,81
-20.907065,81
-20.906925,81
-20.906785,81
-20.906645,81
-20.906505,81
-20.90636,81
-20.90622,81
-20.90608,81
-20.905935,81
-20.905785,81
-20.90564,81
-20.905495,81
-20.905345,81
-20.9052,81
-20.90506,81
-20.90492,81
-20.90478,81
-20.90464,81
-20.904495,81
-20.904355,81
-20.904215,81
-20.904075,81
-20.903935,81
-20.903795,81
-20.903655,81
-20.903515,81
-20.90337,81
-20.90323,81
-20.90309,81
-20.90295,81
-20.90281,81
-20.90267,81
-20.90253,81
-20.90239,81
-20.902245,81
-20.902105,81
-20.901965,81
-20.901825,81
-20.901685,81
-20.901545,81
-20.901405,81
-20.901265,81
-20.90112,81
-20.90098,81
-20.90057,81
-20.90043,81
-20.90029,81
-20.90015,81
-20.900005,81
-20.899865,81
-20.899725,81
-20.899585,81
-20.899445,81
-20.899305,81
-20.899165,81
-20.899025,81
-20.89888,81
-20.87529,81
-20.87515,81
-20.87501,81
-20.874865,81
-20.874725,81
-20.874585,81
-20.874445,81
-20.874305,81
-20.874165,81
-20.874025,81
-20.873885,81
-20.873745,81
-20.8736,81
-20.87346,81
-20.87332,81
-20.87318,81
-20.87304,81
-20.8729,81
-20.87276,81
-20.87262,81
-20.87248,81
-20.872335,81
-20.872195,81
-20.872055,81
-20.871915,81
-20.871775,81
-20.871635,81
-20.871495,81
-20.871355,81
-20.87121,81
-20.87107,81
-20.87093,81
-20.87079,81
-20.87065,81
-20.87051,81
-20.870365,81
-20.870225,81
-20.870085,81
-20.869945,81
-20.8698,81
-20.86966,81
-20.86952,81
-20.86938,81
-20.869235,81
-20.869095,81
-20.86895,81
-20.868805,81
-20.86866,81
-20.868515,81
-20.868375,81
-20.86823,81
-20.86809,81
-20.86795,81
-20.86781,81
-20.86767,81
-20.867245,81
-20.86262,81
-20.86248,81
-20.86234,81
-20.8622,81
-20.86206,81
-20.86192,81
-20.86178,81
-20.861635,81
-20.861495,81
-20.861355,81
-20.861215,81
-20.861075,81
-20.860935,81
-20.860795,81
-20.860655,81
-20.86051,81
-20.86037,81
-20.86023,81
-20.86009,81
-20.85995,81
-20.85981,81
-20.85967,81
-20.85953,81
-20.85939,81
-20.859245,81
-20.859105,81
-20.858965,81
-20.858825,81
-20.858685,81
-20.858545,81
-20.8584,81
-20.858255,81
-20.858115,81
-20.857975,81
-20.857835,81
-20.857695,81
-20.857555,81
-20.857415,81
-20.85727,81
-20.85713,81
-20.856985,81
-20.856835,81
-20.856685,81
-20.85654,81
-20.856395,81
-20.85625,81
-20.85611,81
-20.85597,81
-20.85583,81
-20.85569,81
-20.85555,81
-20.855405,81
-20.855265,81
-20.855125,81
-20.854985,81
-20.854845,81
-20.854705,81
-20.854565,81
-20.854425,81
-20.854285,81
-20.854145,81
-20.854005,81
-20.853865,81
-20.853725,81
-20.853585,81
-20.853445,81
-20.853305,81
-20.853165,81
-20.853025,81
-20.852885,81
-20.852745,81
-20.852605,81
-20.852465,81
-20.85232,81
-20.85218,81
-20.85204,81
-20.8519,81
-20.85176,81
-20.85162,81
-20.85148,81
-20.85134,81
-20.851195,81
-20.851055,81
-20.84852,81
-20.84838,81
-20.84822,81
-20.84808,81
-20.84794,81
-20.8478,81
-20.84766,81
-20.84752,81
-20.84738,81
-20.847235,81
-20.847095,81
-20.846955,81
-20.846815,81
-20.846675,81
-20.846535,81
-20.84639,81
-20.84625,81
-20.846105,81
-20.845965,81
-20.845825,81
-20.845685,81
-20.845545,81
-20.8454,81
-20.84526,81
-20.84512,81
-20.84497,81
-20.844825,81
-20.84468,81
-20.84453,81
-20.844385,81
-20.84424,81
-20.8441,81
-20.84396,81
-20.84382,81
-20.843675,81
-20.843535,81
-20.843395,81
-20.843255,81
-20.843115,81
-20.842975,81
-20.842835,81
-20.842695,81
-20.842555,81
-20.84241,81
-20.84227,81
-20.84213,81
-20.84197,81
-20.84183,81
-20.84169,81
-20.84155,81
-20.84141,81
-20.84127,81
-20.84113,81
-20.84099,81
-20.84085,81
-20.84071,81
-20.84057,81
-20.84043,81
-20.84029,81
-20.84015,81
-20.84001,81
-20.83987,81
-20.83973,81
-20.83959,81
-20.839445,81
-20.826115,81
-20.825975,81
-20.825815,81
-20.825675,81
-20.825535,81
-20.825395,81
-20.825255,81
-20.825115,81
-20.824975,81
-20.824835,81
-20.824695,81
-20.824555,81
-20.824415,81
-20.82427,81
-20.82413,81
-20.82399,81
-20.82385,81
-20.82371,81
-20.82357,81
-20.82343,81
-20.82329,81
-20.82315,81
-20.82301,81
-20.822865,81
-20.822725,81
-20.822585,81
-20.822445,81
-20.8223,81
-20.82216,81
-20.82202,81
-20.821875,81
-20.821735,81
-20.821595,81
-20.821455,81
-20.82131,81
-20.82117,81
-20.821025,81
-20.82088,81
-20.820735,81
-20.820585,81
-20.82044,81
-20.820295,81
-20.820155,81
-20.820015,81
-20.819875,81
-20.81973,81
-20.81959,81
-20.81945,81
-20.81931,81
-20.81915,81
-20.81901,81
-20.81887,81
-20.81871,81
-20.81857,81
-20.818425,81
-20.81827,81
-20.818125,81
-20.817985,81
-20.817825,81
-20.817685,81
-20.816315,81
-20.81617,81
-20.81602,81
-20.815875,81
-20.815735,81
-20.815595,81
-20.815455,81
-20.815295,81
-20.815155,81
-20.815015,81
-20.814875,81
-20.81473,81
-20.81459,81
-20.81445,81
-20.81431,81
-20.81417,81
-20.81403,81
-20.81389,81
-20.81375,81
-20.81361,81
-20.813465,81
-20.813325,81
-20.813185,81
-20.813045,81
-20.812905,81
-20.812765,81
-20.812625,81
-20.812485,81
-20.812345,81
-20.812205,81
-20.812065,81
-20.811925,81
-20.811785,81
-20.811645,81
-20.811505,81
-20.811365,81
-20.811225,81
-20.811085,81
-20.810945,81
-20.810805,81
-20.810665,81
-20.810525,81
-20.81038,81
-20.810235,81
-20.810095,81
-20.809955,81
-20.809815,81
-20.80967,81
-20.80953,81
-20.80939,81
-20.80925,81
-20.80911,81
-20.808965,81
-20.80882,81
-20.80867,81
-20.808525,81
-20.808375,81
-20.80823,81
-20.80809,81
-20.80795,81
-20.80781,81
-20.80767,81
-20.80753,81
-20.807385,81
-20.807245,81
-20.807105,81
-20.806965,81
-20.806825,81
-20.806685,81
-20.806545,81
-20.806405,81
-20.806265,81
-20.80612,81
-20.80598,81
-20.80584,81
-20.8057,81
-20.80556,81
-20.80542,81
-20.80528,81
-20.80514,81
-20.805,81
-20.804855,81
-20.804715,81
-20.804575,81
-20.804435,81
-20.804295,81
-20.804155,81
-20.804015,81
-20.80387,81
-20.80373,81
-20.80359,81
-20.80345,81
-20.80331,81
-20.80317,81
-20.80303,81
-20.802885,81
-20.802745,81
-20.802605,81
